table	lua_name	cpp_symbol	cpp_class	family	shape	nresults	impl_va	thunk_va	stub_va	vtable_va	s_name_slot	stanza_va
Actor	AddFaceExpression	AddFaceExpression		LuaGlueFunctor0	adapter	1	0070f0f0	007167c0	00716820	00fde998	0142d850	0070db61
Actor	AddNeed	AddNeed		LuaGlueFunctor0	adapter	1	00710a80	00716cc0	00717460	00fde9a0	0142d854	0070dbb5
Actor	AddSafetyNeed	AddSafetyNeed		LuaGlueFunctor0	adapter	1	00710b60	00716ce0	00717470	00fde9a8	0142d858	0070dc09
Actor	AreNeedsEnabled	AreNeedsEnabled		LuaGlueFunctor0R	jmp	eax	00712340	00716d40	007174a0	00fde9c0	0142d864	0070dd05
Actor	BoardVehicle	BoardVehicle		LuaGlueFunctor0	adapter	1	00711a40	00716eb0	00717590	00fdea50	0142d8ac	0070e2ed
Actor	BroadcastScaryEvent	BroadcastScaryEvent		LuaGlueFunctor0	adapter	1	0070c3c0	00716560	00716730	00fde9c8	0142d868	0070dd59
Actor	CalcFacingTo	CalcFacingTo		LuaGlueFunctor0R	jmp	eax	00710550	00716d90	007174e0	00fde9f8	0142d880	0070df51
Actor	CancelAnimation	CancelAnimation		LuaGlueFunctor0	adapter	1	00710210	00716c60	00717430	00fde980	0142d844	0070da65
Actor	CancelAttrPt	CancelAttrPt		LuaGlueFunctor0	adapter	1	00711590	00716e40	00717550	00fdea30	0142d89c	0070e19d
Actor	CancelAttrPtRequest	CancelAttrPtRequest		LuaGlueFunctor0	adapter	1	00711720	00716e90	00717580	00fdea48	0142d8a8	0070e299
Actor	ChangeModule	ChangeModule		LuaGlueFunctor0	adapter	1	0070f370	00716850	007171d0	00fde810	0142d78c	0070cb4d
Actor	ClearRagdollCallback	ClearRagdollCallback		LuaGlueFunctor0	adapter	1	0070c490	00716580	00716740	00fde9d8	0142d870	0070de01
Actor	EnableAllLongIdles	EnableAllLongIdles		LuaGlueFunctor0	adapter	1	00714790	00717060	007176a0	00fdeae8	0142d8f8	0070e929
Actor	EnableLongIdle	EnableLongIdle		LuaGlueFunctor0	adapter	1	0070c730	007165c0	00716770	00fdeaf0	0142d8fc	0070e97d
Actor	EnableNeed	EnableNeed		LuaGlueFunctor0	adapter	1	00712270	00716d20	00717490	00fde9b8	0142d860	0070dcb1
Actor	EnableNeeds	EnableNeeds		LuaGlueFunctor0	adapter	1	00712190	00716d00	00717480	00fde9b0	0142d85c	0070dc5d
Actor	EnableSchedule	EnableSchedule		LuaGlueFunctor0	adapter	1	007120e0	007168a0	00717210	00fde830	0142d79c	0070cc9d
Actor	EnterSpecialKillMode	PlayerEnterSpecialKillMode		LuaGlueFunctor0	adapter	1	00715290	00717190	00717740	00fdeb68	0142d938	0070ee69
