pc_va	name	source	method
0x422260	GAcquireInterface::`vector deleting dtor'	both	rtti_exact
0x422580	GImage::GRefCountBase::~GRefCountBase	single-B	rtti_exact
0x422680	GImage::`vector deleting dtor'	both	rtti_exact
0x42a220	WSApplicationContext::`vector deleting dtor'	both	rtti_exact
0x42a240	WSBootupContext::Destroy	both	rtti_exact
0x42a280	WSBootupContext::SetupInitTasks	both	rtti_exact
0x42a3d0	PblTask::Run	both	rtti_exact
0x42a3f0	WSBootupContext::SetupExecuteTasks	both	rtti_exact
0x42a400	WSBootupContext::Restart	both	rtti_exact
0x42a420	WSBootupContext::`scalar deleting dtor'	both	rtti_exact
0x42a540	WSIngameContext::Restart	both	rtti_exact
0x42a580	WSIngameContext::Destroy	both	rtti_exact
0x42a590	WSIngameContext::SetupExecuteTasks	both	rtti_exact
0x42a800	WSIngameContext::SetupInitTasks	both	rtti_exact
0x42a8e0	WSIngameContext::`vector deleting dtor'	both	rtti_exact
0x42ac20	WSLoadingContext::Destroy	both	rtti_exact
0x42ac60	WSLoadingContext::SetupInitTasks	both	rtti_exact
0x42acd0	WSLoadingContext::SetupExecuteTasks	both	rtti_exact
0x42aec0	WSLoadingContext::Restart	both	rtti_exact
0x42aee0	WSLoadingContext::`scalar deleting dtor'	both	rtti_exact
0x42e9cc	WSSaveGameDataManager::LoadSaveStateCompleted	both	assert
0x430ff0	WSSaveloadGui::ReturnToMainMenuPC	both	assert
0x432150	WSSaveloadGui::ProcessButtonPress	both	assert
0x437ec0	WSGameSetupTask::Run	both	rtti_exact
0x438080	WSWillToFightTask::Run	both	rtti_exact
0x4381c0	WSRenderingTask::Run	both	rtti_exact
0x4383a0	WSPhysicsTask::Run	both	rtti_exact
0x438430	WSSoundTask::Run	both	rtti_exact
0x4388e0	WSShellRenderTask::Run	both	rtti_exact
0x4390c0	WSInitLoadTask::Run	both	rtti_exact
0x439110	WSLoadingMonitorTask::Run	both	rtti_exact
0x439210	WSStreamingTask::Run	both	rtti_exact
0x439400	WSAIPathfinderStubTask::Run	both	rtti_exact
0x439420	WSGameTask::Run	both	rtti_exact
0x43ab70	WSSceneManagementTask::Run	both	rtti_exact
0x43bd40	WSBootupTask::Run	both	rtti_exact
0x43c930	WSShellSyncedTask::Run	both	rtti_exact
0x453150	?$WSFactory@VWSEntityBlueprint@@::`vector deleting dtor'	both	rtti_exact
0x4548f0	?$WSFactory@VWSBigMapImageBlueprint@@::`vector deleting dtor'	both	rtti_exact
0x455c10	WSBird::UpdateAnimation	both	assert
0x468230	?$WSFactory@VWSAICombatBlueprint@@::`scalar deleting dtor'	both	rtti_exact
0x468260	?$WSFactory@VWSPhysicsParticleBlueprint@@::`scalar deleting dtor'	both	rtti_exact
0x468290	?$WSFactory@VWSPhysicsParticleSetBlueprint@@::`scalar deleting dtor'	both	rtti_exact
0x4682f0	?$WSFactory@VWSParticleEffectBlueprint@@::`scalar deleting dtor'	both	rtti_exact
0x468350	?$WSFactory@VWSDecalBlueprint@@::`scalar deleting dtor'	both	rtti_exact
0x469430	WSBonePairBlueprint::`scalar deleting dtor'	both	rtti_exact
0x46f460	?$WSFactory@VWSCameraSettingsBlueprint@@::`scalar deleting dtor'	both	rtti_exact
0x474160	WSCivilianProp::Close	both	assert
0x474630	WSCivilianProp::SetupBankTransitions	single-A	assert-string
0x474e90	WSCivilianPropBlueprint::SetProperty	both	assert
0x475390	WSCivilianProp::InitUNSynched	both	assert
0x487510	WSExplosion::SetupExplosion	both	assert
0x48a080	?$WSFactory@VWSExplosionBlueprint@@::`vector deleting dtor'	both	rtti_exact
0x48abd0	?$WSFactory@VWSFlashBlueprint@@::`scalar deleting dtor'	both	rtti_exact
0x48ae10	WSFocusPt::GetWorldMatrix	both	rtti_exact
0x48af60	WSFocusPt::`scalar deleting dtor'	both	rtti_exact
0x48c327	WSGenericObject::~WSGenericObject	both	assert
0x48cc10	WSGenericObject::RemoveModel	both	assert
0x48e440	WSHatStateMachine::PlaySeanGetNewHatAnim	both	assert
0x48f236	WSHidePt::ExitMiniCinState	both	assert
0x4991e0	WSInventory::DropItem	both	assert
0x499d50	WSInventory::DropAmmos	both	assert
0x49c4b0	WSInventory::EmptyInventoryImmediate	both	assert
0x4a3530	?$WSFactory@VWSMiniGameBlueprint@@::`vector deleting dtor'	both	rtti_exact
0x4a7cd0	WSInventory::TakeOutItem	single-B	assert
0x4a89e0	WSObjectAnimator::SetAnimatedBoneMatrix	both	assert
0x4aac4a	WSObjectAnimator::Update	single-B	assert
0x4aada0	WSObjectAnimator::WSObjectAnimator	both	assert
0x4ab690	WSObjective::`scalar deleting dtor'	both	rtti_exact
0x4b5299	WSProp::OnFinishedSettingUp	both	assert
0x4bc7db	WSRopeMesh::Destroy	both	assert
0x4c1810	WSEquipmentSabotagePt::Sabotage	both	assert
0x4c3e50	?$WSFactory@VWSSabotageTargetBlueprint@@::`scalar deleting dtor'	both	rtti_exact
0x4cd250	WSUsePt::Use	both	assert
0x4cdb76	WSUsePt::Start	single-A	assert-string
0x4d6280	WSWillToFightPortalManager::~WSWillToFightPortalManager	both	rtti_exact
0x4d6490	hkBaseObject::`vector deleting dtor'	both	rtti_exact
0x4e1090	PblAsset::`scalar deleting dtor'	both	rtti_exact
0x4e12a0	?$PblAssetT@VWSZone@@::`scalar deleting dtor'	both	rtti_exact
0x4ef140	?$WSFactory@VWSFxBoneStateListBlueprint@@::`vector deleting dtor'	both	rtti_exact
0x4f69f0	WSHuman::Die	both	assert
0x4f7dd0	WSHuman::ExitMeleeStateAI	both	assert
0x4fa7e0	WSHuman::BeginConversation	both	assert
0x4fa8b0	WSHuman::EnterPilotable	both	assert
0x4fad70	WSHuman::NotifyVehicleCollision	both	assert
0x4fc6a0	WSHuman::DeleteSynched	both	assert
0x4fe5c0	WSHuman::Teleport	single-A	assert-string
0x4fed00	WSHuman::ReactToExplosion	single-A	assert-string
0x4ffc10	WSHuman::Collide	both	assert
0x503160	WSHuman::DieImmediateDropAndRagdoll	both	assert
0x506140	WSHuman::ApplyDamage	both	assert
0x50c010	WSHuman::DieImmediateNoDropOrRagdoll	both	assert
0x50d97b	WSHuman::Update	single-A	assert-string
0x514f0e	WSFxHumanBodySetup::Destroy	both	assert
0x519860	WSHumanBodySetup::`vector deleting dtor'	both	rtti_exact
0x51aa00	?$WSFactory@VWSFxHumanHeadBlueprint@@::`scalar deleting dtor'	both	rtti_exact
0x51aa30	?$WSFactory@VWSFxHumanBodyPartBlueprint@@::`scalar deleting dtor'	both	rtti_exact
0x51aa60	?$WSFactory@VWSFxHumanBodySetupBlueprint@@::`vector deleting dtor'	both	rtti_exact
0x51aa90	?$WSFactory@VWSHumanBodyPartBlueprint@@::`scalar deleting dtor'	both	rtti_exact
0x51aac0	?$WSFactory@VWSHumanBodySetupBlueprint@@::`scalar deleting dtor'	both	rtti_exact
0x51c1c0	?$WSFactory@VWSHumanSkeletonScale@@::`scalar deleting dtor'	both	rtti_exact
0x51eb70	PblRef::Kill	both-conflict(base-preferred)	rtti_exact
0x51eb80	WSAnimationUserData::`vector deleting dtor'	both	rtti_exact
0x51ebd0	WSAnimationAimData::`scalar deleting dtor'	both	rtti_exact
0x524a50	WSHumanAnimator::WSHumanAnimator	single-A	assert-string
0x539e50	WSAnimateSubstate::`scalar deleting dtor'	both	rtti_exact
0x53f510	WSHumanStateAttack::AttachGrapplePartner	both	assert
0x5416a0	WSHumanStateAttack::ApplyGrappleDamage	single-A	assert-string
0x549030	WSHumanStateGrabbed::Remove	single-A	assert-string
0x5509a0	WSHumanStateJump::PhysicsUpdatePlayerOnly	both	assert
0x552fe4	WSHumanStateMiniGame::Remove	both	assert
0x553c46	WSHumanStateMiniGame::StartMiniGameState	both	assert
0x554980	WSHumanStateMiniGameSabotage::UpdateState	both	assert
0x555610	WSHumanStateMiniGameSabotage::WSHumanStateMiniGameSabotage	both	assert
0x556983	WSHumanStateMiniGameValve::ParallelPrePhysicsUpdate	both	assert
0x556d60	WSHumanStateMiniGameValve::SetState	both	assert
0x55d760	WSHumanStateOnGround::ExitSmokingQuick	both	assert
